firm_name,n_offres,sector_main,avg_req_exp,avg_wage,addr_dept_main,top_skill_req
skiils,17,,3,67325,75,"équipe, Python"
Visian,9,,4,193450,75,"Anglais, Python"
LivingPackets,21,,3,41666.6666666667,,"Autonome, Autonôme"
Million Victories,7,,,,,"A/B Testing, Autonomous"
Wivoo,16,,,,,"Anglais, Communication"
Coface,7,,,,,"Attention to Detail, Communication"
Hipto,7,,,,,"AWS, Curiosité"
WizVille,7,,2,50000,,"Bases de donnée, Collaboration"
BSPORT SOLUTION,7,,,,,"AWS, Database"
The Product Crew,8,,,52500,75,Français
Tata Consultancy Services,7,,4,,,"Adaptability, Git"
Warner Music France,7,,,,,"Anglais, Collaboration"
Ergoss Logiciels,7,,,,,"Autonome, Autonôme"
Fairly Made,1,,3,,,"Autonome, Autonôme"
APHP DSI,13,,2,,,"Deep Learning, Anglais"
MP DATA,38,,2.5,43605.9264705882,92,"Deep Learning, Git"
Consortia,7,,,,,"Communication, équipe"
RADèS,7,,3,47500,,"Anglais, Curiosité"
Saegus,7,,4,54000,,"Anglais, Azure"
Cyllene,28,,4,48750,,"AWS, Azure"
Innovela,26,,2,61250,,"Autonome, Autonôme"
Klint Consulting,7,,5,65000,,"équipe, Reporting"
Health Data Hub,7,,,,,"Deep Learning, Azure"
Direction interministérielle du numérique (DINUM) – Service du Premier ministre,8,,,,35,"équipe, Python"
OSE Engineering,7,,,,,"Autonome, Autonôme"
Artelys,7,,3,,,"Deep Learning, Autonome"
Kanbios,12,,3.5,,,"Anglais, équipe"
Digiwide,1,,,,33,"Anglais, Collaboration"
Sightengine,1,,,,,"Python, PyTorch"
LNE,1,,,,75,"Anglais, Autonome"
MSD,2,,,,75,"Collaboration, Créativité"
SURICATE IT,1,,,215350,75,Deep Learning
Johnson & Johnson,1,,,,92,Deep Learning
Shift Technology,2,,,,75,"English, French"
Capital Management Fund,2,,,,75,"Collaboration, Deep Learning"
Licorne Society,2,,,,75,"AWS, Azure"
PUR,1,,,,75,Deep Learning
profil,9,,,26318.385,75,"équipe, Excel"
Systemathics,2,,,,75,"data collection, Data Visualization"
Boston Consulting Group,2,,,,75,"Collaboration, Curious"
Rakuten,1,,,,75,Deep Learning
Philips,1,,,,75,"Anglais, équipe"
Coperneec,2,,,,75,"Deep Learning, équipe"
SCOR,2,,,,75,"Deep Learning, Natural Language Processing"
AccorCorpo,1,,,,92,"Anglais, Apprentissage profond"
D3S,1,,,65000,38,Deep Learning
Dassault Systèmes,12,,,,78,"équipe, Anglais"
AVISIA,2,,,,75,"AWS, Azure"
Ivalua,1,,,,91,Deep Learning
Hager Group,1,,,,33,"Anglais, Python"
Française des Jeux,1,,,,92,"Curiosité, équipe"
Roche,1,,,,75,"Anglais, Autonome"
Malakoff Humanis,4,,,,75,"équipe, Python"
Apple,1,,,,75,Deep Learning
POLARYS,2,,,,92,"Deep Learning, English"
Ipsen Pharma (SAS),1,,,,92,"Data Visualization, Natural Language Processing"
ACSSI,1,,,,75,"Anglais, Data Visualization"
Margo Conseil,1,,,,75,Deep Learning
AFTERDATA,1,,,2406,75,"Créativité, équipe"
Ornikar,1,,,,75,"Communication, équipe"
Banque de France,5,,,,75,"équipe, Statistique"
SymphonyAI,1,,,,75,Deep Learning
Franfinance,1,,,,92,"Bases de donnée, Français"
HP,1,,,,38,"English, Excel"
Streem Energy,1,,,,75,Deep Learning
Fretbay,1,,,,75,"Autonome, Autonôme"
PROSOL,1,,,,69,"Apprentissage profond, Autonome"
Aquila Data Enabler,3,,,,92,"Deep Learning, équipe"
MBR Partners,1,,,,75,"Communication, Communication Skills"
Sully Group,1,,,,38,"équipe, Intelligence artificielle"
Kicklox,14,,,148312.5,78,"Français, équipe"
XPDEEP,1,,,,38,Deep Learning
Synopsia,1,,,50000,75,"Anglais, Azure"
ICM Institut du Cerveau,1,,,40000,75,"Collaboration, Communication"
Sparteo,1,,,,59,"Artificial intelligence, Autonomous"
Airbus,8,,,,13,"Git, Python"
RD2 CONSEIL,2,,,,69,"Anglais, Collaboration"
EASY CASH,1,,,,,"Curiosité, équipe"
Aixial,1,,,,92,"Artificial intelligence, data collection"
Schneider Electric,5,,,,6,"Communication, Excel"
Holcim,2,,,,38,"Data Visualization, Programming"
Blue-Consulting,2,,,190712.5,75,"Deep Learning, Python"
Département de Saône-et-Loire,2,,,,,"Bases de donnée, Collaboration"
Balenciaga,1,,,,75,"Curious, Data Visualization"
Salomon,2,,,,74,"Anglais, Autonome"
TotalEnergies,6,,,,92,"Anglais, équipe"
DialOnce,1,,,,75,Deep Learning
SIACI SAINT HONORE,2,,,,75,"Bases de donnée, équipe"
CEB,1,,,3138,75,"Adaptabilité, Anglais"
AIA Bordeaux,1,,,,33,"Autonome, Autonôme"
Vaisala,1,,,,75,"Autonomous, Database"
Novencia,4,,,,75,"Git, Intelligence artificielle"
1G-LINK CONSULTING,2,,,48750,75,"équipe, Python"
Novo Nordisk,1,,,,28,"Anglais, Base de donnée"
NANTES UNIVERSITE,1,,,2016,44,"Anglais, équipe"
Nestle Operational Services Worldwide SA,3,,,,75,"équipe, Power BI"
Docaret,1,,,44000,33,"Bases de donnée, Collaboration"
CNRS,2,,,5182.08,38,"Anglais, Communication"
Opéra Conseil,1,,,,69,Deep Learning
WeSmart,1,,,55000,75,"Anglais, Azure"
Geniem,2,,,173375,59,"Deep Learning, Python"
